ESTU_TIPODOCUMENTO,ESTU_NACIONALIDAD,ESTU_GENERO,PERIODO,ESTU_CONSECUTIVO,ESTU_ESTUDIANTE,ESTU_PAIS_RESIDE,ESTU_TIENEETNIA,ESTU_DEPTO_RESIDE,ESTU_COD_RESIDE_DEPTO,ESTU_MCPIO_RESIDE,ESTU_COD_RESIDE_MCPIO,FAMI_EDUCACIONPADRE,FAMI_EDUCACIONMADRE,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_CUARTOSHOGAR,FAMI_TIENEINTERNET,FAMI_TIENECOMPUTADOR,FAMI_TIENELAVADORA,FAMI_TIENEHORNOMICROOGAS,FAMI_TIENESERVICIOTV,FAMI_TIENEAUTOMOVIL,FAMI_TIENEMOTOCICLETA,FAMI_TIENECONSOLAVIDEOJUEGOS,FAMI_NUMLIBROS,FAMI_COMELECHEDERIVADOS,FAMI_COMECARNEPESCADOHUEVO,FAMI_COMECEREALFRUTOSLEGUMBRE,FAMI_TRABAJOLABORPADRE,FAMI_TRABAJOLABORMADRE,FAMI_SITUACIONECONOMICA,ESTU_DEDICACIONLECTURADIARIA,ESTU_DEDICACIONINTERNET,ESTU_HORASSEMANATRABAJA,ESTU_TIPOREMUNERACION,COLE_CODIGO_ICFES,COLE_COD_DANE_ESTABLECIMIENTO,COLE_NOMBRE_ESTABLECIMIENTO,COLE_GENERO,COLE_NATURALEZA,COLE_CALENDARIO,COLE_BILINGUE,COLE_CARACTER,COLE_COD_DANE_SEDE,COLE_NOMBRE_SEDE,COLE_SEDE_PRINCIPAL,COLE_AREA_UBICACION,COLE_JORNADA,COLE_COD_MCPIO_UBICACION,COLE_MCPIO_UBICACION,COLE_COD_DEPTO_UBICACION,COLE_DEPTO_UBICACION,ESTU_PRIVADO_LIBERTAD,ESTU_COD_MCPIO_PRESENTACION,ESTU_MCPIO_PRESENTACION,ESTU_DEPTO_PRESENTACION,ESTU_COD_DEPTO_PRESENTACION,PUNT_GLOBAL,ESTU_NSE_INDIVIDUAL,ESTU_NSE_ESTABLECIMIENTO,ESTU_ESTADOINVESTIGACION,edad,INSE,GLOBAL_CATEGORICO
9,2,1,20222,65868,0,2,0,18,76.0,12,76001.0,7,8,2,1,3,1,1,1,1,0,1,1,0,1,0,1,0,5,5,1,4,0,0,0,106385,376001016041,12,2,0,0,0,3,376001016041,23,1,1,4,76001,0,76,0,0,76001.0,11,25,76.0,243,2,2.0,1,16.0,51.6,0
9,2,1,20222,57409,0,2,0,18,76.0,12,76001.0,0,1,6,2,4,1,1,1,1,1,1,1,1,0,3,3,3,10,11,0,4,3,0,1,702597,476001020719,251,2,1,0,0,3,476001020719,276,1,0,5,76001,0,76,0,0,76001.0,11,25,76.0,253,3,2.0,1,15.0,68.0,0
9,2,1,20221,4180,0,2,0,18,76.0,12,76001.0,8,6,2,2,4,1,1,1,1,1,0,0,0,2,3,3,1,11,11,1,4,3,3,1,84988,376001007670,129,2,0,1,0,3,376001007670,150,1,1,4,76001,0,76,0,0,76001.0,11,25,76.0,266,2,4.0,1,16.0,57.6,0
9,2,1,20194,22234,0,2,0,18,76.0,12,76001.0,9,6,1,0,4,1,0,1,0,1,1,0,0,0,3,3,3,0,3,0,0,1,3,0,136101,176001004973,239,2,1,0,0,0,276001043884,214,0,1,1,76001,0,76,0,0,76001.0,11,25,76.0,204,1,2.0,1,16.0,49.3,0
0,2,0,20194,29569,0,2,0,18,76.0,12,76001.0,7,6,1,1,2,0,1,0,0,1,0,0,0,0,0,2,2,11,11,2,0,0,0,0,659573,176001004485,247,2,1,0,0,3,176001004485,272,1,1,5,76001,0,76,0,0,76001.0,11,25,76.0,195,0,2.0,1,19.0,39.2,0
9,2,0,20172,11931,0,2,0,18,76.0,12,76001.0,7,8,1,0,2,1,1,1,1,1,0,1,0,0,0,1,1,9,9,0,0,1,3,1,43299,176001011163,216,2,1,0,0,3,176001011163,247,1,1,4,76001,0,76,0,0,76001.0,11,25,76.0,228,1,2.0,1,17.0,49.5,0
0,2,0,20202,41144,0,2,0,18,76.0,12,76001.0,4,6,2,2,4,0,1,1,1,1,0,1,1,2,0,1,1,6,11,0,0,0,3,1,265066,176001001818,224,2,1,0,0,0,176001001818,119,1,1,5,76001,0,76,0,0,76001.0,11,25,76.0,218,1,2.0,1,17.0,49.4,0
9,2,0,20172,20956,0,2,1,18,76.0,12,76001.0,8,0,2,1,4,1,1,1,0,1,0,0,0,2,1,0,0,12,12,0,1,1,1,1,17673,176001001672,281,2,1,0,0,3,176001001672,304,1,1,1,76001,0,76,0,0,76001.0,11,25,76.0,269,2,3.0,1,15.0,53.9,0
9,2,1,20172,12800,0,2,0,18,76.0,12,76001.0,7,7,2,1,2,1,1,0,1,1,0,0,0,2,3,1,1,3,9,1,1,1,0,0,17038,176001005716,241,2,1,0,0,3,176001005716,266,1,1,1,76001,0,76,0,0,76001.0,11,25,76.0,258,1,3.0,1,17.0,49.9,0
0,2,0,20172,14494,0,2,0,18,76.0,12,76001.0,8,7,1,1,2,1,1,1,1,1,0,0,0,1,3,3,1,1,4,1,1,2,0,0,41426,176001002555,301,2,1,0,0,3,176001002555,324,1,1,4,76001,0,76,0,0,76001.0,11,25,76.0,204,2,2.0,1,18.0,57.8,0
