PERIODO,COLE_COD_DANE_ESTABLECIMIENTO,COLE_COD_DANE_SEDE,PUNT_GLOBAL,edad,ESTU_TIPODOCUMENTO,ESTU_NACIONALIDAD,ESTU_GENERO,ESTU_PAIS_RESIDE,ESTU_DEPTO_RESIDE,ESTU_MCPIO_RESIDE,FAMI_EDUCACIONPADRE,FAMI_EDUCACIONMADRE,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_CUARTOSHOGAR,FAMI_TIENEINTERNET,FAMI_TIENECOMPUTADOR,FAMI_TIENELAVADORA,FAMI_TIENEHORNOMICROOGAS,FAMI_TIENESERVICIOTV,FAMI_TIENEAUTOMOVIL,FAMI_TIENEMOTOCICLETA,FAMI_TIENECONSOLAVIDEOJUEGOS,FAMI_NUMLIBROS,FAMI_COMELECHEDERIVADOS,FAMI_COMECARNEPESCADOHUEVO,FAMI_COMECEREALFRUTOSLEGUMBRE,FAMI_TRABAJOLABORPADRE,FAMI_TRABAJOLABORMADRE,FAMI_SITUACIONECONOMICA,ESTU_DEDICACIONLECTURADIARIA,ESTU_DEDICACIONINTERNET,ESTU_HORASSEMANATRABAJA,ESTU_TIPOREMUNERACION,COLE_NOMBRE_ESTABLECIMIENTO,COLE_GENERO,COLE_NATURALEZA,COLE_CALENDARIO,COLE_BILINGUE,COLE_CARACTER,COLE_NOMBRE_SEDE,COLE_SEDE_PRINCIPAL,COLE_AREA_UBICACION,COLE_JORNADA,COLE_MCPIO_UBICACION,COLE_DEPTO_UBICACION,GLOBAL_CATEGORICO
20202,176001000000.0,176001000000.0,207,17.0,10,7,0,7,23,16,9,8,0,0,2,1,0,1,1,1,0,0,0,0,0,1,0,3,9,0,0,1,0,0,358,2,1,0,0,3,529,0,1,5,0,0,0
20202,276001000000.0,276001000000.0,279,15.0,10,7,0,7,23,16,6,10,0,1,4,1,0,0,0,0,0,0,0,0,2,2,0,11,2,0,0,0,3,0,321,2,1,0,0,3,354,1,0,5,0,0,0
20182,176001000000.0,176001000000.0,212,16.0,10,7,0,7,23,16,0,9,2,1,1,1,0,1,0,0,0,0,0,1,0,1,1,10,11,0,2,3,0,0,277,2,1,0,0,3,317,1,1,4,0,0,0
20182,176001000000.0,176001000000.0,180,17.0,10,7,0,7,23,16,9,9,1,2,4,1,1,0,0,1,0,0,0,0,2,1,2,2,2,1,4,2,0,0,344,2,1,0,0,3,458,0,1,3,0,0,0
20172,376001000000.0,376001000000.0,264,16.0,10,7,0,7,23,16,8,8,0,1,1,1,1,0,0,1,0,1,0,0,0,3,2,9,2,0,3,1,0,0,460,2,0,0,0,2,504,1,1,4,0,0,0
20214,176001000000.0,176001000000.0,273,16.0,10,7,1,7,23,16,5,1,3,4,1,1,1,1,1,1,1,1,1,2,3,3,3,10,11,0,3,3,0,0,333,2,1,0,0,3,365,1,1,1,0,0,0
20182,376001000000.0,376001000000.0,244,30.0,0,7,0,7,5,22,4,7,1,1,2,1,1,1,1,1,0,0,1,0,0,0,0,6,6,1,2,3,4,0,399,2,0,0,0,1,429,1,1,1,0,0,0
20214,176001000000.0,176001000000.0,245,19.0,0,7,1,7,23,16,8,9,0,1,4,1,0,1,0,1,0,0,0,0,1,3,1,3,11,1,4,0,0,0,281,2,1,0,0,3,321,1,1,2,0,0,0
20201,376001000000.0,376001000000.0,217,,10,7,1,7,23,16,8,8,3,4,1,1,1,0,1,1,1,0,1,2,0,3,3,3,11,2,4,3,4,1,66,2,0,1,0,0,92,1,1,1,0,0,0
20182,376001000000.0,376001000000.0,251,15.0,10,7,1,7,23,16,7,8,3,4,1,0,0,1,1,1,0,1,1,2,0,3,1,9,4,2,0,0,3,1,79,2,0,0,1,2,105,1,1,0,0,0,0
20182,176001000000.0,176001000000.0,242,16.0,10,7,0,7,23,16,6,6,1,1,4,1,1,1,0,1,0,1,0,2,0,1,3,5,5,0,2,2,0,0,341,2,1,0,0,3,372,1,1,4,0,0,0
20214,176001000000.0,176001000000.0,277,16.0,10,7,1,7,23,20,9,10,1,1,2,1,1,1,1,1,1,1,1,0,1,1,0,1,8,0,4,3,1,1,357,2,1,0,0,3,383,1,1,5,0,0,0
20214,176001000000.0,176001000000.0,275,16.0,10,7,0,7,23,16,9,8,0,1,4,1,1,1,0,0,0,1,0,1,2,3,1,3,3,0,3,3,1,0,346,2,1,0,0,3,376,1,1,5,0,0,0
20202,176001000000.0,176001000000.0,238,25.0,0,7,1,7,23,16,7,9,2,1,5,1,1,1,0,0,0,1,0,0,0,0,1,0,11,2,4,0,4,1,362,2,1,0,0,3,389,1,1,2,0,0,0
20202,176001000000.0,176001000000.0,256,16.0,10,7,0,7,23,16,4,8,0,1,2,1,0,0,0,1,0,1,0,0,0,0,1,6,9,0,2,0,0,0,349,2,1,0,0,3,379,1,1,1,0,0,0
20222,276001000000.0,276001000000.0,259,16.0,10,7,0,7,23,16,4,8,2,1,2,1,1,0,0,1,0,1,0,1,3,3,3,6,0,0,4,1,0,0,324,2,1,0,0,3,464,0,0,5,0,0,0
20182,176001000000.0,176001000000.0,222,19.0,10,7,0,7,23,16,8,8,1,2,4,1,1,1,0,1,0,1,0,1,0,0,1,5,4,1,1,1,0,0,348,2,1,0,0,3,378,1,1,1,0,0,0
